,회원번호,주민번호,이름,성별,나이,국적,생일,전화번호,주소,이메일,누적포인트
21,100000021,230413-1234567,조윤리,여성,47,대한민국,12월 19일,010-5480-3692,경상남도 의령군 지정면 성산리,abcd1234@douzone.com,"10,000"
22,100000022,230413-1234567,김도몬,여성,58,대한민국,9월 5일,010-0748-2395,경상북도 군위군 산성면 삼산리,abcd1234@douzone.com,"10,000"
23,100000023,230413-1234567,서미연,여성,39,대한민국,6월 15일,010-5618-3297,경기도 부천시 여월동,abcd1234@douzone.com,"10,000"
24,100000024,230413-1234567,조상영,남성,55,대한민국,6월 22일,010-2945-0381,제주특별자치도 제주시 조천읍 교래리,abcd1234@douzone.com,"10,000"
25,100000025,230413-1234567,박종재,여성,70,대한민국,7월 15일,010-8197-4530,대전광역시 대덕구 평촌동,abcd1234@douzone.com,"10,000"
26,100000026,230413-1234567,고재운,여성,30,대한민국,3월 26일,010-6751-4328,강원도 화천군 하남면 안평리,abcd1234@douzone.com,"10,000"
27,100000027,230413-1234567,윤도미,남성,45,대한민국,5월 9일,010-1247-8953,충청남도 천안시 동남구 구룡동,abcd1234@douzone.com,"10,000"
28,100000028,230413-1234567,진연하,여성,60,대한민국,12월 18일,010-6794-2503,경기도 광주시 곤지암읍 신대리,abcd1234@douzone.com,"10,000"
29,100000029,230413-1234567,이서원,여성,66,대한민국,8월 2일,010-4028-7561,경기도 남양주시 수동면 운수리,abcd1234@douzone.com,"10,000"
30,100000030,230413-1234567,김가연,여성,32,대한민국,9월 12일,010-5984-7062,전라북도 남원시 이백면 내동리,abcd1234@douzone.com,"10,000"
31,100000031,230413-1234567,하수연,남성,66,대한민국,5월 4일,010-3860-5491,대구광역시 남구 이천동,abcd1234@douzone.com,"10,000"
32,100000032,230413-1234567,박경군,남성,42,대한민국,10월 27일,010-7152-3869,경기도 고양시 일산서구 대화동,abcd1234@douzone.com,"20,000"
33,100000033,230413-1234567,최산하,여성,63,대한민국,4월 9일,010-4613-8705,서울특별시 송파구 풍납동,abcd1234@douzone.com,"20,000"
34,100000034,230413-1234567,김정연,남성,66,대한민국,4월 30일,010-7135-9426,대구광역시 북구 노곡동,abcd1234@douzone.com,"20,000"
35,100000035,230413-1234567,김윤미,남성,67,대한민국,3월 13일,010-0794-8215,충청북도 청주시 서원구 현도면 시동리,abcd1234@douzone.com,"20,000"
36,100000036,230413-1234567,장유찬,남성,25,대한민국,3월 16일,010-4213-0986,세종특별자치시 세종시 전동면 미곡리,abcd1234@douzone.com,"20,000"
37,100000037,230413-1234567,성재하,남성,31,대한민국,12월 26일,010-5734-9218,광주광역시 광산구 산막동,abcd1234@douzone.com,"20,000"
38,100000038,230413-1234567,조정푱,여성,36,대한민국,5월 8일,010-7538-0412,대구광역시 수성구 성동,abcd1234@douzone.com,"20,000"
39,100000039,230413-1234567,김유솔,여성,45,대한민국,8월 5일,010-6913-0487,전라남도 해남군 문내면 고당리,abcd1234@douzone.com,"20,000"
40,100000040,230413-1234567,김운하,남성,70,대한민국,9월 18일,010-9374-2658,제주특별자치도 제주시 월평동,abcd1234@douzone.com,"20,000"
41,100000041,230413-1234567,이원원,여성,51,대한민국,5월 13일,010-4869-0571,인천광역시 남동구 수산동,abcd1234@douzone.com,"20,000"
42,100000042,230413-1234567,손유지,여성,50,대한민국,7월 10일,010-1573-8649,대구광역시 서구 상리동,abcd1234@douzone.com,"20,000"
43,100000043,230413-1234567,오운하,여성,67,대한민국,6월 16일,010-3876-4201,대구광역시 달서구 용산동,abcd1234@douzone.com,"20,000"
44,100000044,230413-1234567,이소리,남성,44,대한민국,9월 25일,010-3769-1405,충청남도 논산시 상월면 대명리,abcd1234@douzone.com,"20,000"
45,100000045,230413-1234567,이성태,남성,66,대한민국,10월 17일,010-2680-3457,경상북도 군위군 우보면 문덕리,abcd1234@douzone.com,"20,000"
46,100000046,230413-1234567,박은지,남성,66,대한민국,9월 23일,010-7254-8301,전라남도 담양군 월산면 오성리,abcd1234@douzone.com,"20,000"
47,100000047,230413-1234567,김혀하,남성,44,대한민국,10월 8일,010-1072-5493,충청남도 태안군 남면 몽산리,abcd1234@douzone.com,"20,000"
48,100000048,230413-1234567,이영비,여성,21,대한민국,6월 7일,010-0419-7253,경상남도 밀양시 청도면 구기리,abcd1234@douzone.com,"20,000"
49,100000049,230413-1234567,이지지,남성,28,대한민국,7월 9일,010-9412-6508,광주광역시 남구 임암동,abcd1234@douzone.com,"15,000"
50,100000050,230413-1234567,김지하,여성,62,대한민국,10월 25일,010-1790-2463,대전광역시 유성구 지족동,abcd1234@douzone.com,"15,000"
51,100000051,230413-1234567,김유리,여성,41,대한민국,7월 9일,010-2431-0589,세종특별자치시 세종시 장군면 용암리,abcd1234@douzone.com,"15,000"
52,100000052,230413-1234567,조하이,남성,20,대한민국,1월 28일,010-6138-0574,경기도 고양시 일산동구 사리현동,abcd1234@douzone.com,"15,000"
53,100000053,230413-1234567,이상우,여성,44,대한민국,11월 26일,010-4685-3092,세종특별자치시 세종시 조치원읍 서창리,abcd1234@douzone.com,"15,000"
54,100000054,230413-1234567,강지윤,여성,64,대한민국,6월 25일,010-1485-6307,대전광역시 중구 무수동,abcd1234@douzone.com,"15,000"
55,100000055,230413-1234567,박하연,남성,58,대한민국,8월 27일,010-4086-9725,대구광역시 동구 검사동,abcd1234@douzone.com,"15,000"
56,100000056,230413-1234567,민정선,여성,45,대한민국,11월 30일,010-9524-8136,서울특별시 관악구 봉천동,abcd1234@douzone.com,"15,000"
57,100000057,230413-1234567,최도경,남성,39,대한민국,5월 6일,010-1925-3086,전라남도 여수시 율촌면 신풍리,abcd1234@douzone.com,"15,000"
58,100000058,230413-1234567,안성우,남성,53,대한민국,8월 26일,010-9726-1508,세종특별자치시 세종시 부강면 노호리,abcd1234@douzone.com,"15,000"
59,100000059,230413-1234567,이전하,여성,54,대한민국,2월 21일,010-3175-9264,경상북도 포항시 남구 장기면 마현리,abcd1234@douzone.com,"15,000"
60,100000060,230413-1234567,이영하,남성,37,대한민국,8월 26일,010-5073-6128,경상남도 거제시 하청면 하청리,abcd1234@douzone.com,"15,000"
61,100000061,230413-1234567,변준운,여성,21,대한민국,7월 5일,010-9065-7183,제주특별자치도 서귀포시 성산읍 삼달리,abcd1234@douzone.com,"15,000"
62,100000062,230413-1234567,임승기,남성,48,대한민국,5월 28일,010-0156-9823,충청북도 괴산군 불정면 추산리,abcd1234@douzone.com,"15,000"
63,100000063,230413-1234567,손혀하,여성,24,대한민국,1월 15일,010-1863-5409,세종특별자치시 세종시 아름동,abcd1234@douzone.com,"15,000"
64,100000064,230413-1234567,김낭주,남성,45,대한민국,2월 21일,010-9762-5183,광주광역시 북구 신용동,abcd1234@douzone.com,"15,000"
65,100000065,230413-1234567,김상하,남성,42,대한민국,10월 25일,010-8527-4931,제주특별자치도 서귀포시 성산읍 시흥리,abcd1234@douzone.com,"15,000"
66,100000066,230413-1234567,최동하,남성,29,대한민국,6월 29일,010-9023-7456,경상북도 안동시 화성동,abcd1234@douzone.com,"25,000"
67,100000067,230413-1234567,김벙하,남성,30,대한민국,6월 10일,010-0713-5682,부산광역시 연제구 거제동,abcd1234@douzone.com,"25,000"
68,100000068,230413-1234567,이채소,남성,44,대한민국,10월 23일,010-9182-5674,경상남도 사천시 동금동,abcd1234@douzone.com,"25,000"
69,100000069,230413-1234567,김조수,여성,33,대한민국,2월 18일,010-5469-3071,강원도 양구군 해안면 후리,abcd1234@douzone.com,"25,000"
70,100000070,230413-1234567,안종원,남성,22,대한민국,1월 12일,010-1452-8390,대전광역시 중구 구완동,abcd1234@douzone.com,"25,000"
71,100000071,230413-1234567,임희석,남성,65,대한민국,11월 25일,010-9013-8526,울산광역시 중구 성안동,abcd1234@douzone.com,"25,000"
72,100000072,230413-1234567,오영우,여성,63,대한민국,4월 4일,010-2491-6853,광주광역시 남구 구동,abcd1234@douzone.com,"25,000"
73,100000073,230413-1234567,권저경,여성,20,대한민국,1월 20일,010-5071-2648,인천광역시 연수구 연수동,abcd1234@douzone.com,"25,000"
74,100000074,230413-1234567,정태유,남성,21,대한민국,9월 28일,010-8153-2609,울산광역시 울주군 언양읍 대곡리,abcd1234@douzone.com,"25,000"
75,100000075,230413-1234567,백연미,남성,62,대한민국,4월 17일,010-6214-8390,경상북도 봉화군 봉성면 동양리,abcd1234@douzone.com,"25,000"
76,100000076,230413-1234567,최서준,남성,54,대한민국,2월 11일,010-8521-6497,강원도 양구군 남면 두무리,abcd1234@douzone.com,"25,000"
77,100000077,230413-1234567,김병하,남성,33,대한민국,3월 30일,010-8723-6950,충청남도 천안시 서북구 성환읍 양령리,abcd1234@douzone.com,"25,000"
78,100000078,230413-1234567,김종수,남성,41,대한민국,12월 9일,010-4715-8269,충청북도 영동군 용산면 상용리,abcd1234@douzone.com,"25,000"
79,100000079,230413-1234567,임상거,남성,41,대한민국,11월 15일,010-9713-2650,전라남도 해남군 옥천면 대산리,abcd1234@douzone.com,"25,000"
80,100000080,230413-1234567,이하정,남성,27,대한민국,6월 2일,010-0625-1374,부산광역시 동래구 온천동,abcd1234@douzone.com,"25,000"
81,100000081,230413-1234567,장서연,여성,56,대한민국,10월 20일,010-9382-5746,경상북도 안동시 일직면 구천리,abcd1234@douzone.com,"25,000"
82,100000082,230413-1234567,이저하,남성,33,대한민국,8월 4일,010-1925-0678,전라북도 고창군 대산면 상금리,abcd1234@douzone.com,"25,000"
83,100000083,230413-1234567,김효도,남성,57,대한민국,2월 21일,010-6834-1572,인천광역시 동구 화평동,abcd1234@douzone.com,"25,000"
84,100000084,230413-1234567,홍주숙,여성,57,대한민국,3월 9일,010-8472-1390,경기도 안양시 만안구 안양동,abcd1234@douzone.com,"25,000"
85,100000085,230413-1234567,마제비,여성,57,대한민국,6월 20일,010-8063-2159,서울특별시 강남구 일원동,abcd1234@douzone.com,"40,000"
86,100000086,230413-1234567,김지하,여성,67,대한민국,8월 15일,010-5493-8610,경상남도 거제시 거제면 법동리,abcd1234@douzone.com,"40,000"
87,100000087,230413-1234567,나창하,남성,67,대한민국,1월 11일,010-7136-0582,전라북도 군산시 성산면 고봉리,abcd1234@douzone.com,"40,000"
88,100000088,230413-1234567,김하연,남성,46,대한민국,1월 7일,010-2483-0961,충청북도 청주시 서원구 남이면 외천리,abcd1234@douzone.com,"40,000"
89,100000089,230413-1234567,정도윤,여성,69,대한민국,7월 7일,010-0857-6294,서울특별시 강서구 가양동,abcd1234@douzone.com,"40,000"
90,100000090,230413-1234567,박저안,남성,57,대한민국,2월 26일,010-0962-5184,대전광역시 동구 홍도동,abcd1234@douzone.com,"40,000"
91,100000091,230413-1234567,임예하,여성,23,대한민국,8월 31일,010-3598-4207,경상북도 청도군 이서면 양원리,abcd1234@douzone.com,"40,000"
92,100000092,230413-1234567,엄경성,여성,59,대한민국,9월 26일,010-0142-6589,경기도 김포시 대곶면 대능리,abcd1234@douzone.com,"40,000"
93,100000093,230413-1234567,최연연,남성,29,대한민국,7월 18일,010-6381-2759,광주광역시 남구 사동,abcd1234@douzone.com,"50,000"
94,100000094,230413-1234567,이영재,남성,22,대한민국,3월 16일,010-1369-7825,제주특별자치도 제주시 조천읍 와산리,abcd1234@douzone.com,"50,000"
95,100000095,230413-1234567,이미늘,남성,47,대한민국,1월 2일,010-2598-4613,광주광역시 남구 사동,abcd1234@douzone.com,"50,000"
96,100000096,230413-1234567,최성하,여성,20,대한민국,7월 1일,010-1705-3896,강원도 횡성군 청일면 신대리,abcd1234@douzone.com,"50,000"
97,100000097,230413-1234567,임예아,남성,66,대한민국,9월 15일,010-7285-3619,대구광역시 동구 용수동,abcd1234@douzone.com,"50,000"
98,100000098,230413-1234567,김윤나,남성,51,대한민국,3월 2일,010-9032-8465,부산광역시 수영구 광안동,abcd1234@douzone.com,"50,000"
99,100000099,230413-1234567,정미연,남성,69,대한민국,5월 26일,010-6132-4970,대구광역시 중구 동성로2가,abcd1234@douzone.com,"50,000"
